id,species_ori,vernacularName,scientificName,taxonRank,type,source_latest_only,species_code_ntu,species_nr,statusTW
529,諾氏鷸(諸曼氏青足鷸),諾氏鷸,Tringa guttifer,species,NA,名錄對照_大肚溪.xlsx(20170993),B0220,213,nonbreeding
530,小型鷸鴴科,鴴形目,Charadriiformes sp.,order,NA,名錄對照_大肚溪.xlsx(20171031),NA,746,NA
531,褐頭(台灣)鷦鶯,褐頭鷦鶯,Prinia inornata,species,NA,名錄對照_大肚溪.xlsx(20171034),B0442,546,breed
532,水鴨,雁鴨科,Anatidae,family,NA,名錄對照_大肚溪.xlsx(20171036),NA,1,NA
533,磯雁,紅頭潛鴨,Aythya ferina,species,NA,名錄對照_大肚溪.xlsx(20171054),B0086,31,nonbreeding
534,埃及朱鷺(聖環),埃及聖䴉,Threskiornis aethiopicus,species,NA,名錄對照_大肚溪.xlsx(20171061),B0066,126,introduced
535,金鵐,金鵐,Emberiza aureola,species,NA,名錄對照_大肚溪.xlsx(20171066),B0522,711,nonbreeding
536,黑喉鸲,黑喉鴝,Saxicola maurus,species,NA,名錄對照_大肚溪.xlsx(20171068),B0402,626,nonbreeding
537,埃及白環(埃及朱鷺),埃及聖䴉,Threskiornis aethiopicus,species,NA,名錄對照_大肚溪.xlsx(20171070),B0066,126,introduced
538,樹麻雀,麻雀,Passer montanus,species,NA,名錄對照_大肚溪.xlsx(20171085),B0537,738,breed
539,蘆鵐,蘆鵐,Emberiza schoeniclus,species,NA,名錄對照_大肚溪.xlsx(20171089),B0531,719,nonbreeding
540,文鳥,梅花雀科,Estrildidae,family,NA,名錄對照_大肚溪.xlsx(20171090),NA,739,NA
541,黃眉鵐,黃眉鵐,Emberiza chrysophrys,species,NA,名錄對照_大肚溪.xlsx(20171092),B0524,707,nonbreeding
542,黃尾鸲,黃尾鴝,Phoenicurus auroreus,species,NA,名錄對照_大肚溪.xlsx(20171095),B0399,623,nonbreeding
543,池鷺(沼鷺),池鷺,Ardeola bacchus,species,NA,名錄對照_大肚溪.xlsx(20171096),B0040,117,nonbreeding
